transform,n_samples,auroc,auroc_drop,accuracy,f1,precision,recall,specificity,false_positive_rate,mean_absolute_drift,p95_absolute_drift,class_flip_rate,samples_per_second
clean,18000,0.9867309320987654,0.0,0.9429444444444445,0.9433441827108733,0.93678097951134,0.95,0.9358888888888889,0.0641111111111111,,,,227.6612267207564
jpeg_90,18000,0.986129074074074,0.0006018580246913707,0.9426111111111111,0.9428934711703245,0.9382770381780173,0.9475555555555556,0.9376666666666666,0.06233333333333333,0.01659244510977496,0.08491042852401733,0.013777777777777778,219.43194322733382
jpeg_70,18000,0.9860067037037037,0.000724228395061699,0.9417222222222222,0.9415761626287941,0.9439419318816303,0.9392222222222222,0.9442222222222222,0.05577777777777778,0.02361700918607819,0.11814124286174767,0.021333333333333333,220.35813497207158
jpeg_50,18000,0.974707524691358,0.012023407407407372,0.8923888888888889,0.8836147329207474,0.9620567839853461,0.817,0.9677777777777777,0.03222222222222222,0.11011205520483337,0.5229164794087408,0.09577777777777778,219.85007844456533
jpeg_30,18000,0.9651750864197531,0.021555845679012253,0.8607222222222223,0.8440241398618803,0.9589990103209388,0.7536666666666667,0.9677777777777777,0.03222222222222222,0.14398709406379856,0.6607599347829816,0.1351111111111111,219.5268922680189
blur_0.5,18000,0.9839204074074074,0.0028105246913580073,0.9226666666666666,0.9187959397969898,0.9672070744288872,0.875,0.9703333333333334,0.029666666666666668,0.06470607945806552,0.30682225525379175,0.05561111111111111,226.5450416868871
blur_1.0,18000,0.950174537037037,0.036556395061728364,0.7474444444444445,0.6662261380323053,0.982034632034632,0.5041111111111111,0.9907777777777778,0.009222222222222222,0.24953760602187988,0.8769155684858561,0.25316666666666665,226.68358343130984
blur_2.0,18000,0.8464127037037037,0.1403182283950617,0.6038333333333333,0.3694402688124502,0.9047206582936336,0.2321111111111111,0.9755555555555555,0.024444444444444446,0.3749689196332835,0.9757694839034229,0.40144444444444444,226.8040475818193
resize_0.5,18000,0.9252081234567902,0.061522808641975235,0.679,0.5324486162809516,0.9797498511018463,0.3655555555555556,0.9924444444444445,0.007555555555555556,0.3085833515024835,0.9413545034825802,0.3236111111111111,227.21600221252214
resize_0.25,18000,0.8208553271604938,0.16587560493827158,0.5609444444444445,0.23885196956563612,0.8966015907447578,0.13777777777777778,0.9841111111111112,0.01588888888888889,0.41599975597292727,0.9868309130193665,0.4441111111111111,227.59127896100154
noise_0.02,18000,0.9693262160493827,0.01740471604938265,0.8727222222222222,0.8585016367117534,0.9664858851341955,0.7722222222222223,0.9732222222222222,0.02677777777777778,0.13328807141924212,0.5849889513105153,0.12122222222222222,217.82607354165492
noise_0.05,18000,0.9540269691358024,0.03270396296296296,0.7417777777777778,0.6543723973825104,0.9892086330935251,0.4888888888888889,0.9946666666666667,0.005333333333333333,0.2597983243954253,0.8750593074830249,0.2635,217.92509814751048
noise_0.10,18000,0.9186483086419753,0.06808262345679006,0.5775555555555556,0.26926773015567945,0.9964438122332859,0.15566666666666668,0.9994444444444445,0.0005555555555555556,0.40344524298333473,0.9784525902534369,0.42983333333333335,217.84895477025032
jitter_brightness_up,18000,0.9860175925925926,0.0007133395061728054,0.9398888888888889,0.9395395619132768,0.9450314748201439,0.9341111111111111,0.9456666666666667,0.05433333333333333,0.02317819831860419,0.11470054090023038,0.01927777777777778,228.699999982521
jitter_brightness_down,18000,0.9866936049382716,3.7327160493760836e-05,0.9426111111111111,0.9432884984902553,0.9322843190450353,0.9545555555555556,0.9306666666666666,0.06933333333333333,0.01177661284680709,0.05747883319854728,0.010666666666666666,228.85791684955353
jitter_contrast_up,18000,0.986363037037037,0.00036789506172840714,0.9396111111111111,0.9410999729070713,0.918455843469064,0.9648888888888889,0.9143333333333333,0.08566666666666667,0.02821718772209386,0.1405142858624457,0.022444444444444444,225.68952851227124
jitter_contrast_down,18000,0.9862730555555556,0.0004578765432098342,0.9421111111111111,0.9419563279857396,0.9444816800714924,0.9394444444444444,0.9447777777777778,0.05522222222222222,0.01670951119860572,0.08401412963867187,0.014055555555555556,225.9435291914013
jitter_saturation_up,18000,0.9866920987654321,3.8833333333321285e-05,0.9441666666666667,0.944722512513063,0.9354100860472715,0.9542222222222222,0.9341111111111111,0.06588888888888889,0.01042137864944338,0.052227376401424386,0.009,228.40675097588505
jitter_saturation_down,18000,0.9865931172839506,0.00013781481481478508,0.9437777777777778,0.9441130991826817,0.9385155906895037,0.9497777777777778,0.9377777777777778,0.06222222222222222,0.00999551500930975,0.05008200854063032,0.007722222222222222,228.18283953555823
crop_0.80,18000,0.9745108888888889,0.012220043209876463,0.8966111111111111,0.8889816858557537,0.959809352054618,0.8278888888888889,0.9653333333333334,0.034666666666666665,0.10027933122228837,0.48772537894546947,0.08922222222222222,228.52937258812662
