transform,n_samples,auroc,auroc_drop,accuracy,f1,precision,recall,specificity,false_positive_rate,mean_absolute_drift,p95_absolute_drift,class_flip_rate,samples_per_second
clean,900,0.9353,0.0,0.8655555555555555,0.9020242914979757,0.8771653543307086,0.9283333333333333,0.74,0.26,,,,50.16217123413392
jpeg_90,900,0.9363388888888889,-0.0010388888888889225,0.8666666666666667,0.9024390243902439,0.8809523809523809,0.925,0.75,0.25,0.004096043947049313,0.015080673247575758,0.01,34.14117439059976
jpeg_70,900,0.9352444444444444,5.5555555555586444e-05,0.8677777777777778,0.9028571428571429,0.8848,0.9216666666666666,0.76,0.24,0.01156936882943329,0.040039703249931315,0.011111111111111112,36.049442423124084
jpeg_50,900,0.9329722222222222,0.0023277777777778175,0.8677777777777778,0.902698282910875,0.8860353130016051,0.92,0.7633333333333333,0.23666666666666666,0.018291262857512466,0.06058042347431177,0.024444444444444446,36.8494989442325
jpeg_30,900,0.9322277777777778,0.003072222222222254,0.8588888888888889,0.8966639544344995,0.875993640699523,0.9183333333333333,0.74,0.26,0.022657621779168646,0.07367975115776061,0.024444444444444446,37.23714559275612
blur_0.5,900,0.9354555555555556,-0.00015555555555557543,0.8666666666666667,0.9027552674230146,0.8785488958990536,0.9283333333333333,0.7433333333333333,0.25666666666666665,0.0021580344159156085,0.00789145976305008,0.0011111111111111111,16.793118807751704
blur_1.0,900,0.9347388888888889,0.0005611111111111233,0.8611111111111112,0.8989490703314471,0.8728414442700158,0.9266666666666666,0.73,0.27,0.0058866403117362,0.022265852987766264,0.008888888888888889,16.74923752244123
blur_2.0,900,0.9331388888888889,0.002161111111111169,0.8644444444444445,0.9016129032258063,0.8734375,0.9316666666666666,0.73,0.27,0.014977795460468365,0.05506499409675596,0.01888888888888889,16.7141659497894
resize_0.5,900,0.9336166666666667,0.00168333333333337,0.8611111111111112,0.8989490703314471,0.8728414442700158,0.9266666666666666,0.73,0.27,0.005818386197917991,0.02120973467826843,0.008888888888888889,23.921625300898576
resize_0.25,900,0.9329722222222222,0.0023277777777778175,0.86,0.8987138263665595,0.8680124223602484,0.9316666666666666,0.7166666666666667,0.2833333333333333,0.017085871091629897,0.06436101347208023,0.016666666666666666,27.160096971944178
noise_0.02,900,0.9376833333333333,-0.002383333333333293,0.8744444444444445,0.9076042518397384,0.8908507223113965,0.925,0.7733333333333333,0.22666666666666666,0.013952381395113966,0.04998179376125334,0.017777777777777778,12.59767350418679
noise_0.05,900,0.9370388888888889,-0.0017388888888888454,0.8688888888888889,0.9018302828618968,0.9003322259136213,0.9033333333333333,0.8,0.2,0.03816388111561537,0.12307891398668287,0.043333333333333335,12.627008220274531
noise_0.10,900,0.9335222222222223,0.001777777777777767,0.8611111111111112,0.893977947413062,0.9101899827288429,0.8783333333333333,0.8266666666666667,0.17333333333333334,0.06362307911997454,0.20085538923740384,0.07111111111111111,12.61885891566677
jitter_brightness_up,900,0.9340277777777778,0.0012722222222222301,0.8688888888888889,0.9045307443365695,0.8789308176100629,0.9316666666666666,0.7433333333333333,0.25666666666666665,0.010605834203047886,0.040222319960594166,0.014444444444444444,35.98427423308024
jitter_brightness_down,900,0.9348166666666666,0.0004833333333333911,0.8622222222222222,0.8996763754045306,0.8742138364779874,0.9266666666666666,0.7333333333333333,0.26666666666666666,0.004837312104387416,0.016714328527450563,0.005555555555555556,39.80955094021629
jitter_contrast_up,900,0.9344,0.0009000000000000119,0.8711111111111111,0.9067524115755627,0.8757763975155279,0.94,0.7333333333333333,0.26666666666666666,0.01149364498599122,0.0445631332695484,0.016666666666666666,32.34372819370655
jitter_contrast_down,900,0.9350222222222222,0.0002777777777778212,0.8611111111111112,0.8991121872477805,0.8716744913928013,0.9283333333333333,0.7266666666666667,0.2733333333333333,0.005466441351713406,0.02053195089101791,0.006666666666666667,35.938643820777955
jitter_saturation_up,900,0.9352333333333334,6.666666666665932e-05,0.8655555555555555,0.9018653690186537,0.8783570300157978,0.9266666666666666,0.7433333333333333,0.25666666666666665,0.004928113737971419,0.017318357527256006,0.0022222222222222222,33.816093776780924
jitter_saturation_down,900,0.9355444444444444,-0.0002444444444443805,0.8633333333333333,0.9007263922518159,0.8732394366197183,0.93,0.73,0.27,0.005428647592974206,0.01868727803230285,0.006666666666666667,37.064084497791264
crop_0.80,900,0.9334555555555556,0.0018444444444444263,0.8677777777777778,0.901571546732837,0.8949096880131363,0.9083333333333333,0.7866666666666666,0.21333333333333335,0.04336532310427477,0.15120432339608664,0.04888888888888889,26.513373396993074
