transform,n_samples,auroc,auroc_drop,accuracy,f1,precision,recall,specificity,false_positive_rate,mean_absolute_drift,p95_absolute_drift,class_flip_rate,samples_per_second
clean,600,0.9903666666666666,0.0,0.9483333333333334,0.949096880131363,0.9352750809061489,0.9633333333333334,0.9333333333333333,0.06666666666666667,,,,165.29767057835457
jpeg_90,600,0.9848,0.005566666666666609,0.9433333333333334,0.944078947368421,0.9318181818181818,0.9566666666666667,0.93,0.07,0.023119018723179275,0.09635217785835265,0.008333333333333333,150.65224093024042
jpeg_70,600,0.9822444444444445,0.008122222222222142,0.9416666666666667,0.9417637271214643,0.9401993355481728,0.9433333333333334,0.94,0.06,0.04021790380769138,0.16673965752124761,0.016666666666666666,154.67253266166975
jpeg_50,600,0.9795555555555555,0.010811111111111105,0.9283333333333333,0.9279731993299833,0.9326599326599326,0.9233333333333333,0.9333333333333333,0.06666666666666667,0.053193467186162406,0.21293262243270863,0.03,156.7982134302768
jpeg_30,600,0.9796222222222222,0.010744444444444445,0.9183333333333333,0.9162393162393163,0.9403508771929825,0.8933333333333333,0.9433333333333334,0.056666666666666664,0.06638071576346799,0.2647065371274947,0.05333333333333334,156.66641218379917
blur_0.5,600,0.9892,0.0011666666666666492,0.945,0.9459901800327333,0.9292604501607717,0.9633333333333334,0.9266666666666666,0.07333333333333333,0.010770584259880707,0.041312277317047084,0.0033333333333333335,124.81801998154
blur_1.0,600,0.9867888888888889,0.00357777777777768,0.9416666666666667,0.9425287356321838,0.9288025889967637,0.9566666666666667,0.9266666666666666,0.07333333333333333,0.027582689975388347,0.10602512732148157,0.006666666666666667,124.54487162793114
blur_2.0,600,0.9751888888888889,0.015177777777777735,0.9183333333333333,0.9187396351575455,0.9141914191419142,0.9233333333333333,0.9133333333333333,0.08666666666666667,0.07332506840408314,0.2610354721546173,0.04666666666666667,123.45825762553497
resize_0.5,600,0.9868777777777777,0.0034888888888888747,0.9416666666666667,0.9417637271214643,0.9401993355481728,0.9433333333333334,0.94,0.06,0.03418811952229589,0.1525374591350555,0.016666666666666666,140.35099167340948
resize_0.25,600,0.9769888888888889,0.01337777777777771,0.9316666666666666,0.9320066334991708,0.9273927392739274,0.9366666666666666,0.9266666666666666,0.07333333333333333,0.06959078351986439,0.25111194290220673,0.03666666666666667,147.80005260269664
noise_0.02,600,0.9829111111111111,0.007455555555555549,0.9316666666666666,0.9301533219761499,0.9512195121951219,0.91,0.9533333333333334,0.04666666666666667,0.07089880753075704,0.2726853072643278,0.03666666666666667,104.4360070199796
noise_0.05,600,0.9713555555555555,0.01901111111111109,0.8733333333333333,0.8608058608058609,0.9552845528455285,0.7833333333333333,0.9633333333333334,0.03666666666666667,0.1384042827001637,0.47211941406130775,0.105,104.5222705754124
noise_0.10,600,0.9526555555555556,0.03771111111111103,0.805,0.7664670658682635,0.9552238805970149,0.64,0.97,0.03,0.2037074222738738,0.633851186186075,0.18,104.36431719184436
jitter_brightness_up,600,0.9897111111111111,0.0006555555555555204,0.9466666666666667,0.9475409836065575,0.932258064516129,0.9633333333333334,0.93,0.07,0.010117995873248825,0.040554381906986216,0.008333333333333333,162.24434282438233
jitter_brightness_down,600,0.9903111111111111,5.555555555547542e-05,0.9483333333333334,0.9492635024549918,0.932475884244373,0.9666666666666667,0.93,0.07,0.0047373397031333295,0.019154590368270857,0.0033333333333333335,167.11813780145107
jitter_contrast_up,600,0.9905222222222222,-0.00015555555555557543,0.9466666666666667,0.9475409836065575,0.932258064516129,0.9633333333333334,0.93,0.07,0.00891176013382695,0.030837347730994183,0.008333333333333333,153.7553694219545
jitter_contrast_down,600,0.9904444444444445,-7.777777777784323e-05,0.9483333333333334,0.9492635024549918,0.932475884244373,0.9666666666666667,0.93,0.07,0.005077506241116983,0.01781370639801022,0.0033333333333333335,161.11317928971636
jitter_saturation_up,600,0.9904666666666667,-0.00010000000000010001,0.9516666666666667,0.9526916802610115,0.9329073482428115,0.9733333333333334,0.93,0.07,0.004431473104050383,0.01738035678863525,0.006666666666666667,158.33174128129448
jitter_saturation_down,600,0.9902444444444445,0.00012222222222213475,0.9466666666666667,0.9475409836065575,0.932258064516129,0.9633333333333334,0.93,0.07,0.004908353697780209,0.01824806556105611,0.0016666666666666668,160.54027882953272
crop_0.80,600,0.9888222222222223,0.0015444444444443484,0.945,0.9449081803005008,0.9464882943143813,0.9433333333333334,0.9466666666666667,0.05333333333333334,0.04880609113441703,0.1742164909839629,0.023333333333333334,146.54504375369214
