transform,n_samples,auroc,auroc_drop,accuracy,f1,precision,recall,specificity,false_positive_rate,mean_absolute_drift,p95_absolute_drift,class_flip_rate,samples_per_second
clean,18000,0.9919857222222223,0.0,0.9577222222222223,0.9578042694760188,0.9559490868843387,0.9596666666666667,0.9557777777777777,0.044222222222222225,,,,227.21866167089678
jpeg_90,18000,0.9916479012345679,0.0003378209876543359,0.9547222222222222,0.9549947539897288,0.9492809309474146,0.9607777777777777,0.9486666666666667,0.051333333333333335,0.014015521469113142,0.07751742601394647,0.010888888888888889,219.34731199896618
jpeg_70,18000,0.9920683703703703,-8.264814814806787e-05,0.9561111111111111,0.9564017660044151,0.950109649122807,0.9627777777777777,0.9494444444444444,0.050555555555555555,0.017379398581766903,0.09420747235417365,0.014055555555555556,219.1252630590316
jpeg_50,18000,0.9848151728395061,0.007170549382716107,0.9393888888888889,0.9391895657990078,0.9422883346381836,0.9361111111111111,0.9426666666666667,0.05733333333333333,0.057713935155654844,0.30516638197004764,0.04488888888888889,218.90001601894994
jpeg_30,18000,0.9742367901234568,0.01774893209876549,0.8998333333333334,0.8930922027868367,0.9575333757151939,0.8367777777777777,0.9628888888888889,0.03711111111111111,0.09887817464327324,0.5109054908156395,0.09077777777777778,218.910875379003
blur_0.5,18000,0.985204524691358,0.006781197530864258,0.9123888888888889,0.9062035329804318,0.9750415973377704,0.8464444444444444,0.9783333333333334,0.021666666666666667,0.07954914856747199,0.40548653714358807,0.07011111111111111,225.54951989313582
blur_1.0,18000,0.9621415370370371,0.029844185185185168,0.8932222222222223,0.8896163565357225,0.9207085116500238,0.8605555555555555,0.9258888888888889,0.07411111111111111,0.11872272834007046,0.5254236938431859,0.0966111111111111,225.8295395289932
blur_2.0,18000,0.9048451111111111,0.08714061111111115,0.8091666666666667,0.7912995929278814,0.8730392814050141,0.7235555555555555,0.8947777777777778,0.10522222222222222,0.20945796422179172,0.7348060283809899,0.19011111111111112,225.6095870052418
resize_0.5,18000,0.9490651728395062,0.042920549382716056,0.8705555555555555,0.8632789578687947,0.9146978363591146,0.8173333333333334,0.9237777777777778,0.07622222222222222,0.143363798207575,0.6011019808589476,0.12116666666666667,226.43580635732468
resize_0.25,18000,0.8795680555555555,0.11241766666666675,0.7716666666666666,0.7361325115562404,0.8718065693430657,0.637,0.9063333333333333,0.09366666666666666,0.2366312114203581,0.7949213717132807,0.22772222222222221,226.9106294500699
noise_0.02,18000,0.9862102654320988,0.005775456790123479,0.9388888888888889,0.9374217772215269,0.9604802984378643,0.9154444444444444,0.9623333333333334,0.03766666666666667,0.05626375134765586,0.29385973755270245,0.04538888888888889,217.96941827848084
noise_0.05,18000,0.9763043395061728,0.015681382716049463,0.9202222222222223,0.9193530270695273,0.9294799000681354,0.9094444444444445,0.931,0.069,0.08859802936475306,0.4221277818083762,0.0705,217.82966633367596
noise_0.10,18000,0.946569049382716,0.045416672839506234,0.8742222222222222,0.8710559289212895,0.8935498948352418,0.8496666666666667,0.8987777777777778,0.10122222222222223,0.15453454984416026,0.6037458121776579,0.12083333333333333,217.0229313697397
jitter_brightness_up,18000,0.9912001111111111,0.0007856111111111952,0.9551666666666667,0.9555543316627196,0.9473626733646391,0.9638888888888889,0.9464444444444444,0.05355555555555556,0.018153740767631772,0.09397289752960188,0.014333333333333333,226.60574664747892
jitter_brightness_down,18000,0.9916126666666667,0.00037305555555555703,0.9556111111111111,0.9553256919206039,0.9615081598199212,0.9492222222222222,0.962,0.038,0.015044580853706005,0.08238271623849867,0.011555555555555555,227.00497124896674
jitter_contrast_up,18000,0.9915307839506173,0.00045493827160492106,0.9493888888888888,0.9506847831970985,0.9269502797424258,0.9756666666666667,0.9231111111111111,0.0768888888888889,0.031483783908217856,0.16920925155282013,0.025222222222222222,223.60749040210058
jitter_contrast_down,18000,0.9916335925925925,0.00035212962962971606,0.9533888888888888,0.9526550420405169,0.9678935901846119,0.9378888888888889,0.9688888888888889,0.03111111111111111,0.023061170687351577,0.12427831888198848,0.017777777777777778,224.93036365689022
jitter_saturation_up,18000,0.991940962962963,4.475925925928603e-05,0.9570555555555555,0.9572432103545551,0.9530785328780703,0.9614444444444444,0.9526666666666667,0.04733333333333333,0.00710338508011709,0.03815554715692997,0.006,227.72671914828624
jitter_saturation_down,18000,0.9919155987654321,7.012345679013876e-05,0.9569444444444445,0.9570137001497588,0.9554767969874848,0.9585555555555556,0.9553333333333334,0.04466666666666667,0.006745136251045536,0.03511013090610503,0.004,227.06767016346998
crop_0.80,18000,0.9722403148148148,0.01974540740740749,0.9021666666666667,0.8970235658733408,0.9467966917664485,0.8522222222222222,0.9521111111111111,0.04788888888888889,0.09640321838207812,0.46805971525609436,0.08433333333333333,226.92216954748764
